word	count	occurrence
him	995	686
almost	994	910
business	990	854
cream	984	688
mexican	979	696
decent	975	869
during	967	858
use	967	851
overall	967	909
makes	965	901
fish	958	639
wonderful	955	849
fast	947	837
enjoyed	947	875
hard	946	886
week	941	850
plate	940	762
red	938	773
dishes	930	725
soup	930	657
must	921	847
yes	919	771
spicy	917	700
especially	917	881
whole	914	825
three	913	791
high	909	825
done	909	805
coming	904	851
close	901	856
eating	898	814
pork	897	640
fantastic	896	815
restaurants	892	790
1	892	753
several	889	823
music	881	702
shop	879	702
chips	877	647
trying	874	808
reviews	872	786
part	872	796
such	869	801
water	866	679
tasted	863	749
shrimp	858	601
seemed	855	748
care	855	759
kids	853	634
steak	851	583
may	850	759
stop	849	803
local	848	719
tables	842	714
waitress	840	657
someone	839	730
year	837	695
salsa	836	576
wife	835	628
ice	832	577
keep	829	765
tell	829	757
tacos	828	548
quick	828	769
gave	826	765
live	823	757
fan	823	738
disappointed	819	781
line	818	647
own	818	757
less	817	757
cooked	815	727
real	815	722
front	815	725
stuff	814	687
green	813	636
waiting	813	691
finally	808	722
yet	807	765
called	806	671
bring	805	737
might	803	727
course	802	647
star	794	679
wrong	791	723
comes	791	728
name	788	698
call	786	645
pay	786	694
end	785	720
either	783	731
door	782	676
extra	776	688
sit	773	708
brought	773	675
manager	768	569
until	768	699
dining	767	647
dessert	762	632
owner	760	653
today	750	668
hours	748	655
drive	748	656
guy	745	617
money	745	651
roll	743	455
seems	742	680
options	741	659
walk	740	659
car	737	460
helpful	733	708
later	730	634
wo	728	705
style	728	646
bacon	727	511
able	727	649
liked	725	660
although	725	671
lots	724	656
myself	724	653
valley	718	655
needed	714	625
chocolate	713	524
walked	709	618
started	709	652
yelp	703	623
group	702	556
plus	702	651
sat	695	622
instead	693	636
second	693	618
cheap	692	621
beans	692	525
felt	691	625
return	691	646
help	690	610
highly	687	654
absolutely	686	646
deal	686	629
cold	677	555
yummy	675	620
saw	675	618
20	674	599
regular	673	613
ate	670	607
person	668	607
white	667	564
flavors	665	538
waiter	663	497
fact	657	607
reason	656	619
seating	655	577
expect	655	607
days	653	577
tea	653	436
anyone	652	621
party	649	502
size	647	549
ago	647	616
thai	645	322
job	643	581
offer	642	570
hotel	641	365
decor	640	614
often	640	603
wish	639	610
guess	635	588
street	634	578
point	632	572
sandwiches	631	531
problem	626	562
seem	625	580
buy	622	525
dog	621	319
start	618	579
italian	618	447
arrived	616	514
easy	615	557
saturday	613	550
light	610	546
morning	602	514
bbq	601	380
burgers	599	472
arizona	598	535
6	595	530
extremely	594	541
gets	594	556
counter	591	494
portions	591	548
rolls	590	423
okay	589	500
egg	586	439
already	582	543
kitchen	581	488
making	580	546
attentive	579	569
run	577	535
leave	575	538
expensive	573	519
impressed	573	543
list	571	519
stay	567	472
average	566	496
four	564	497
variety	563	528
working	562	521
past	562	521
potato	555	456
stopped	554	531
choice	553	504
rather	551	512
looks	550	522
plenty	547	507
beautiful	545	494
remember	545	493
seen	544	501
chinese	541	335
perfectly	540	494
grilled	540	457
pick	538	486
seated	537	468
taco	536	341
customers	535	467
mind	535	495
appetizer	534	478
serve	534	498
dry	534	450
glass	531	439
soon	530	502
fine	529	491
warm	528	489
15	528	470
burrito	527	345
late	527	472
reasonable	525	513
evening	525	450
believe	525	498
quickly	525	488
bowl	525	403
ingredients	524	476
doing	524	488
between	523	485
slow	522	483
sometimes	521	473
eggs	520	374
add	518	476
change	517	453
cake	517	367
amount	515	471
guys	514	445
early	509	468
sunday	508	464
cut	506	438
etc	506	454
life	505	442
near	504	467
friday	501	447
wings	500	334
trip	500	451
under	497	477
seriously	496	475
comfortable	496	466
weekend	495	462
set	495	443
waited	495	411
mean	494	457
downtown	492	422
bite	490	437
show	490	401
short	488	437
totally	488	448
az	487	439
ready	487	437
sitting	487	453
buffet	486	271
along	486	452
ended	481	449
employees	481	421
heard	481	462
pool	478	299
game	478	366
salads	476	429
surprised	476	452
pasta	475	350
given	475	440
gone	474	445
knew	474	434
crust	472	343
twice	471	457
others	471	443
simple	469	424
tempe	469	409
mall	468	373
garlic	467	369
potatoes	467	377
beers	467	369
hit	466	446
specials	465	413
portion	464	420
recently	461	445
%	459	383
thanks	457	432
across	457	438
watch	457	394
ambiance	456	433
type	455	422
bland	455	400
date	454	403
office	454	315
girl	454	397
man	453	401
eaten	452	426
rest	451	430
glad	450	438
world	449	404
priced	449	437
entire	447	422
cute	446	405
needs	446	424
packed	443	425
30	443	400
behind	442	403
shopping	438	380
black	437	370
choose	437	407
park	436	324
chef	432	330
months	431	396
five	431	391
flavorful	429	410
servers	429	384
read	427	399
8	427	382
appetizers	427	388
unique	426	391
choices	426	394
french	425	352
completely	423	388
bill	422	349
hope	421	404
space	421	381
yourself	421	390
chain	420	367
thank	420	396
prepared	419	381
anyway	418	396
crispy	418	371
authentic	416	360
itself	416	403
walking	413	397
butter	413	344
kept	411	389
available	411	359
taking	411	396
company	409	329
ordering	408	372
cup	408	336
main	408	373
hand	405	368
tomato	405	355
neighborhood	405	378
please	405	371
sign	404	360
crowd	402	354
wow	402	383
loud	402	349
crab	402	283
including	401	381
phone	399	309
meals	399	349
corn	398	307
noticed	396	356
together	395	371
birthday	395	304
yum	393	328
mouth	392	365
idea	390	364
feeling	389	365
month	389	352
onion	386	326
veggies	386	333
unfortunately	386	370
club	386	316
tip	385	319
hungry	383	342
movie	383	217
charge	381	331
card	379	297
expected	377	354
ones	377	349
moved	376	356
located	376	362
pricey	376	371
excited	376	356
soft	376	343
empty	375	347
head	374	346
offered	373	349
7	372	346
interesting	370	349
hair	370	218
opened	370	343
crowded	370	356
orders	370	331
pho	369	181
paid	369	331
taken	369	346
toppings	369	304
forward	368	359
based	368	340
wall	367	326
sausage	365	291
cost	364	320
dressing	364	308
desert	362	303
salmon	361	275
exactly	361	348
mom	359	264
closed	357	319
talk	356	329
boyfriend	356	283
mine	355	337
mix	355	337
healthy	355	307
thin	355	292
plates	354	305
rooms	354	270
received	354	311
lettuce	353	298
seat	353	305
pleasant	353	341
filled	352	336
goes	351	336
center	351	298
event	351	252
turned	350	321
spend	350	337
pieces	350	303
terrible	349	310
onions	349	314
hear	347	326
play	346	285
case	345	327
sort	345	317
giving	344	333
added	344	326
chance	344	323
option	344	316
sorry	343	326
seats	343	258
within	343	321
immediately	342	312
chili	341	269
above	341	327
oil	341	255
bottle	341	291
young	340	304
spring	338	274
veggie	338	283
weeks	337	318
whatever	337	327
vegetarian	336	286
rude	336	299
dogs	335	224
cafe	334	264
number	334	288
talking	334	314
note	334	318
bartender	334	271
due	333	313
piece	333	293
joint	332	309
middle	331	309
curry	331	222
low	330	304
unless	330	323
miss	329	319
greasy	329	298
mixed	329	301
anywhere	329	320
market	329	253
understand	328	310
certainly	328	303
takes	328	310
pita	328	209
grab	326	310
dip	326	257
bought	325	300
fair	325	297
tuna	325	233
except	324	317
orange	323	267
typical	323	301
yeah	322	295
tastes	322	301
split	321	292
horrible	321	292
stores	320	256
recommended	319	306
noodles	319	236
thinking	319	298
longer	319	304
homemade	318	285
grill	317	256
TRUE	316	291
owners	316	294
#	316	200
turkey	315	240
lady	315	262
baked	315	276
worst	315	296
truly	315	289
hummus	314	234
entree	314	279
visiting	314	303
sides	313	276
tender	313	277
mention	313	304
pie	313	226
iced	313	260
serving	312	292
school	312	253
soda	312	239
write	312	298
crazy	311	290
value	311	289
issue	311	284
12	311	283
outdoor	310	290
la	309	246
outstanding	309	288
ribs	309	219
simply	309	285
upon	309	291
greeted	308	299
hostess	308	243
=	308	146
dirty	307	267
tiny	307	279
afternoon	307	284
combo	307	270
box	306	256
frozen	306	251
floor	306	258
plan	305	285
hate	304	284
blue	303	256
standard	303	286
share	303	289
seafood	303	235
stuffed	302	265
building	302	270
saying	301	287
dark	301	277
class	301	199
item	301	270
treat	301	273
fruit	300	249
hands	300	285
attention	299	284
cook	299	268
prefer	299	286
kinda	298	273
literally	298	277
roasted	297	252
poor	296	268
entrees	296	271
mac	296	234
spent	295	280
kid	294	245
minute	292	278
bucks	292	259
tasting	291	256
paying	291	276
finish	290	275
tv	290	259
slightly	290	274
glasses	289	232
fairly	289	273
toast	289	227
stand	288	267
pancakes	288	195
mostly	287	279
total	287	268
north	286	268
fabulous	285	270
cash	284	246
chairs	284	244
questions	283	251
usual	282	263
running	282	258
filling	281	268
weird	281	256
says	281	246
strip	280	262
visited	279	266
vibe	279	267
die	279	271
matter	278	269
tonight	276	237
asking	276	267
tomatoes	276	232
foods	275	215
per	275	248
daughter	275	215
touch	274	258
easily	273	262
sports	273	208
son	272	212
casual	272	251
lived	271	258
solid	271	245
yogurt	269	150
complaint	269	263
level	268	240
means	268	254
forget	268	249
city	267	228
face	267	245
summer	267	246
brunch	266	193
folks	266	250
bag	266	227
carne	266	207
asian	265	217
modern	265	245
move	264	231
corner	264	249
professional	264	249
craving	264	252
book	264	243
section	263	219
heat	263	244
basically	263	250
apparently	262	246
alone	262	249
guacamole	261	209
surprise	261	243
works	261	251
happened	261	247
playing	260	244
single	260	250
bathroom	260	225
somewhere	259	250
..	259	221
salty	259	224
beyond	259	251
bean	259	216
stick	259	251
spinach	258	217
helped	258	242
shared	257	248
medium	257	204
expecting	256	243
personal	256	244
finished	256	245
limited	256	240
indian	256	155
stayed	256	230
lovely	255	239
worked	255	244
checked	255	239
sour	255	220
chile	254	171
honestly	254	242
opinion	254	242
mushrooms	252	218
girls	252	217
favorites	252	242
particular	252	227
9	251	232
chicago	251	164
pulled	250	210
shot	250	235
salt	250	202
pepper	249	230
generous	249	239
ahead	249	241
beat	249	235
thick	247	229
margarita	246	200
smaller	246	229
covered	246	227
chose	245	223
vegetables	245	203
online	245	211
hubby	244	178
creamy	244	230
peppers	243	213
eye	243	217
cookie	243	181
lack	243	233
considering	242	232
future	242	230
establishment	242	229
conversation	242	228
locations	241	217
watching	241	227
living	241	224
road	241	213
included	240	217
dr.	240	134
mentioned	240	229
tons	239	223
perhaps	239	229
airport	239	169
smell	239	201
gotten	239	230
fix	238	213
turn	238	225
original	238	217
sad	238	220
met	237	226
slice	237	196
traditional	236	219
mediocre	236	227
changed	236	220
products	235	190
normally	235	225
theater	234	119
desserts	234	211
double	234	208
2-Jan	233	196
lobster	233	153
view	233	205
meet	232	219
lost	232	213
50	232	219
break	232	214
nights	231	218
tap	231	199
tortilla	230	193
central	230	196
juice	230	173
bed	230	187
25	230	217
supposed	230	221
knows	230	218
despite	229	221
obviously	229	220
forgot	229	213
sauces	229	211
rating	229	213
starbucks	228	165
american	228	205
asada	228	178
slices	227	182
save	227	223
incredible	227	207
lol	227	213
damn	227	219
art	227	195
hang	226	215
100	226	213
speak	226	205
knowledgeable	226	223
texture	225	206
management	225	195
awful	225	201
grocery	225	192
overpriced	224	215
reading	224	213
girlfriend	224	184
strong	223	209
east	223	206
crisp	222	195
pizzas	222	191
fry	221	173
appreciate	221	209
heart	221	214
normal	221	208
dollars	220	193
pleased	220	214
issues	220	196
lucky	220	201
kick	219	207
delivery	219	162
nearly	219	210
word	219	212
baby	218	183
using	218	209
lemon	218	186
showed	218	209
n	217	164
opening	217	191
weather	217	207
avoid	217	208
fat	216	190
none	216	214
general	216	197
leaving	215	200
sub	215	152
avocado	215	177
sugar	215	182
loves	215	204
driving	215	203
pass	214	200
paper	214	178
similar	214	206
seeing	214	199
woman	213	190
topped	213	197
rock	213	189
daily	213	188
bun	212	171
country	212	189
cocktails	212	186
attitude	212	188
honest	212	203
convenient	211	206
meats	211	182
addition	211	205
cookies	211	164
suggest	211	203
disappointing	211	197
credit	211	179
missing	210	195
boy	210	175
mood	210	204
air	210	180
cozy	209	205
vegan	209	136
seasoned	208	196
flat	208	190
wash	208	134
honey	208	175
patrons	208	194
bars	208	192
bottom	207	201
west	207	183
happen	207	198
picked	207	197
finding	207	200
california	207	182
sell	206	189
margaritas	206	179
greek	206	141
gift	206	163
games	206	163
mistake	206	189
otherwise	206	204
satisfied	205	201
juicy	204	195
na	204	176
website	204	173
deep	204	188
hold	204	192
gem	204	203
gravy	203	134
combination	203	191
interior	203	194
clearly	202	190
bunch	202	200
rib	202	164
mill	202	154
yesterday	202	192
possible	201	193
imagine	201	196
window	201	177
groupon	201	135
fancy	201	191
spice	200	181
rare	200	180
incredibly	200	189
deli	200	160
affordable	200	190
reasonably	199	198
basil	199	164
sound	199	177
peanut	199	147
nearby	199	191
massage	199	112
feels	198	187
expectations	198	189
continue	198	186
reservation	198	161
ton	198	191
desk	198	164
cocktail	198	177
bartenders	197	188
compared	197	193
concept	197	186
sense	197	184
sun	197	180
de	197	153
appointment	197	143
south	197	174
gym	197	127
fill	197	185
odd	197	181
update	196	182
heavy	196	185
delish	196	186
resort	196	136
basic	196	184
somewhat	196	185
walls	195	183
gelato	195	100
ranch	195	157
complete	194	189
plain	194	173
apple	194	156
version	193	171
lamb	193	152
notch	193	191
children	193	151
wedding	192	110
explained	192	178
olive	192	159
mesa	192	152
hell	192	182
hoping	192	187
tofu	191	140
offers	191	184
owned	191	184
drinking	191	178
smile	191	185
heaven	191	179
become	190	183
actual	190	177
environment	190	181
barely	190	184
chandler	190	162
cooking	189	177
weekends	189	185
miles	189	170
support	189	177
checking	189	185
chipotle	189	155
frequent	188	182
coupon	188	140
setting	188	177
straight	188	179
sister	188	145
experiences	188	179
filet	188	145
brown	188	170
rush	187	175
decide	187	178
team	187	151
sent	187	169
visits	187	182
throughout	187	172
notice	187	174
clear	187	173
placed	186	173
charged	186	163
generally	186	171
tortillas	186	148
cuisine	185	173
previous	185	174
selections	185	176
returning	185	184
known	185	181
mushroom	185	157
moist	184	168
training	184	149
gyro	183	119
organic	183	150
milk	183	137
shops	183	164
rich	182	172
drop	182	169
mess	182	171
doors	182	159
realized	181	174
coconut	181	150
themselves	181	177
bigger	181	178
overly	181	173
closer	181	177
produce	180	147
sales	180	147
40	180	172
nicely	179	176
pesto	179	141
perfection	179	176
mozzarella	179	149
figure	179	169
types	179	158
negative	179	174
delivered	179	164
*	179	65
likely	178	171
difficult	178	171
hidden	178	173
dollar	178	152
state	178	160
nor	177	168
suggested	177	167
sample	177	158
bruschetta	177	126
quiet	177	168
hey	177	170
experienced	177	172
vanilla	177	161
goodness	177	167
bell	176	141
station	176	149
elsewhere	176	172
moving	176	166
cheaper	175	171
http	174	106
carry	174	156
reservations	174	154
treated	174	156
fit	173	158
pop	173	155
forever	173	160
gives	173	170
tough	173	157
lounge	172	149
enchiladas	172	136
enjoying	172	161
pleasantly	172	170
san	172	156
joe	171	133
45	171	147
goat	171	136
multiple	171	160
product	170	144
dont	170	150
shoes	170	114
everywhere	169	163
consistently	169	163
purchase	169	151
fare	168	163
system	168	150
bakery	168	148
admit	168	165
efficient	168	162
rate	168	156
lines	168	152
hip	168	151
women	168	143
positive	167	163
dress	167	113
parents	166	140
vietnamese	166	114
welcoming	166	164
larger	166	161
agree	166	165
classic	166	147
question	166	154
soy	166	133
prompt	166	164
older	166	156
willing	166	163
whether	166	161
certain	166	153
relaxing	166	156
services	165	145
figured	165	157
worse	165	153
ten	165	148
board	165	138
waffle	164	102
funny	164	154
spa	164	97
calamari	164	125
band	164	128
request	164	155
monday	164	146
soggy	164	148
bites	164	142
tuesday	163	148
areas	163	150
god	163	155
pm	163	136
refreshing	163	160
strange	163	151
sounds	163	152
wide	163	155
mayo	163	135
pad	163	103
venue	163	130
popular	162	155
sliced	162	148
complaints	162	151
cause	162	144
guests	162	150
consider	162	158
ride	162	134
employee	162	137
ass	161	142
moment	161	154
martini	161	119
banana	161	146
lacking	161	156
giant	161	146
broth	160	124
buying	160	150
college	160	137
major	160	153
higher	159	155
hole	159	143
feet	159	132
ham	158	130
caramel	158	128
flight	158	97
serves	158	155
wanting	158	153
bathrooms	158	149
burritos	157	130
impressive	157	149
duck	157	113
color	157	134
mini	157	140
complain	157	153
cleaning	157	119
story	156	151
recent	156	154
difference	156	150
pot	156	119
various	156	146
arrive	155	147
sized	155	148
bike	155	77
salon	155	107
ridiculous	155	149
japanese	155	106
additional	154	141
nachos	154	112
bf	154	97
garden	154	132
chopped	154	128
anymore	154	150
cakes	154	119
consistent	154	148
annoying	154	148
wines	154	131
classes	154	101
situation	153	144
wrap	153	121
men	153	141
platter	153	126
fire	153	139
likes	153	146
welcome	153	144
typically	153	146
booth	153	130
belly	153	116
greens	153	134
thru	152	127
personally	152	149
spots	152	144
valet	151	115
returned	151	139
menus	151	140
distance	151	145
ladies	151	142
waste	151	143
answer	151	142
ran	151	144
realize	150	145
cant	150	141
round	150	137
possibly	150	147
upscale	150	145
specialty	150	142
prime	150	131
english	150	128
range	149	132
promptly	149	140
discount	149	129
refills	149	135
process	148	134
complimentary	148	132
strawberry	148	136
eyes	148	139
problems	148	137
clothes	148	118
brand	148	128
wonder	147	140
machine	147	128
+	147	94
bright	147	143
waffles	147	97
quesadilla	147	105
pricing	147	138
stuck	146	140
gross	146	133
rings	146	118
roast	146	114
mashed	146	126
ground	145	131
enjoyable	145	138
spectacular	145	141
important	145	141
cinnamon	145	119
age	145	132
lights	145	123
deals	145	140
shows	144	128
earlier	144	135
gon	144	125
meatballs	144	108
stadium	144	83
crap	144	135
sale	144	127
awhile	143	138
laid	143	139
rocks	143	133
w/	143	95
patient	143	131
trust	143	139
mother	143	124
nails	143	90
six	143	130
played	143	130
hanging	142	139
wrapped	142	137
chorizo	142	110
sea	142	115
fee	142	106
register	142	122
11	142	131
reminded	142	139
body	142	126
raw	142	117
tvs	141	131
provide	141	135
scallops	141	105
sold	141	129
ny	141	109
refill	141	130
meh	141	132
provided	141	130
catch	141	132
telling	140	136
presentation	140	134
lobby	140	120
accommodating	140	139
cupcake	140	82
aside	140	137
gluten	140	92
ticket	140	97
third	139	130
coke	139	106
compare	139	137
fashion	139	120
sliders	139	93
thursday	139	132
staying	139	134
scene	138	128
occasion	138	132
fixed	138	122
standing	138	130
surprisingly	138	135
skin	138	102
purchased	138	128
fans	138	126
brisket	138	96
picky	138	136
wood	138	122
york	138	119
sick	138	119
doubt	137	135
polite	137	137
cupcakes	137	82
sizes	137	135
dipping	137	129
anyways	137	123
dine	137	134
spending	137	129
dance	137	102
crunchy	137	131
parts	136	121
omg	136	123
kinds	136	126
gas	136	115
truck	136	96
cleaned	136	110
bagel	136	74
bringing	135	130
absolute	135	132
luckily	135	132
disappointment	135	129
bother	135	128
informed	135	124
throw	135	131
wants	134	130
phx	134	124
chunks	134	118
points	134	124
bottles	134	124
christmas	134	117
besides	134	128
mango	133	110
hash	133	100
smoked	133	113
drove	133	130
alright	133	125
dive	133	114
terrific	133	122
olives	133	113
words	133	131
picture	132	122
phenomenal	132	129
groups	132	126
cars	132	113
freshly	132	124
whenever	132	129
particularly	132	124
oven	132	117
passed	132	129
superb	132	129
discovered	131	129
cards	131	113
wifi	131	120
effort	131	123
sprouts	131	105
furniture	131	120
toasted	131	123
tickets	131	95
recommendation	130	123
missed	130	127
diner	130	112
booths	130	122
yelpers	130	124
key	129	114
shredded	129	114
cover	129	114
asu	129	121
fall	129	124
/	129	111
explain	129	116
shake	129	95
pudding	129	108
mile	129	119
prior	128	122
appreciated	128	125
omelet	128	88
boba	128	55
sucks	128	125
knowing	128	125
neither	128	125
im	128	111
comment	128	122
opted	128	120
melted	128	123
inexpensive	128	122
bagels	127	83
events	127	110
ta	127	123
ya	127	103
eggplant	127	92
biggest	127	124
season	127	115
par	127	124
books	126	85
tend	126	120
ambience	126	122
dropped	126	119
pastries	126	112
latte	126	99
sake	126	101
doctor	126	76
meeting	126	114
mins	126	100
separate	126	118
syrup	126	100
chip	125	112
candy	125	91
starting	125	121
design	125	114
golf	125	96
step	125	121
cheesecake	125	100
dead	125	115
headed	125	121
exceptional	125	119
buffalo	124	104
ball	124	113
opportunity	124	117
min	124	104
biscuits	124	91
dozen	123	115
overcooked	123	115
self	123	108
spacious	123	118
pictures	123	109
gorgeous	123	116
teriyaki	123	90
occasions	123	118
vig	123	52
vodka	123	99
vegetable	123	110
extensive	123	117
host	123	112
serious	123	120
requested	123	120
learned	122	114
lighting	122	114
paradise	122	101
trail	122	52
unlike	122	120
lime	122	104
noodle	122	94
neat	121	116
secret	121	110
cheesy	121	115
below	121	116
bonus	121	118
offering	121	118
comfort	120	111
alcohol	120	112
agreed	120	116
espresso	120	98
shame	120	114
chewy	120	116
loaded	120	114
gourmet	120	113
intimate	120	118
disappoint	120	120
chill	119	114
enchilada	119	86
sadly	119	115
sangria	118	91
hopefully	118	115
include	118	115
send	118	111
allow	118	114
luck	118	114
screen	118	109
against	118	115
advice	118	112
fountain	118	96
fellow	118	112
stock	118	108
tad	118	114
talked	117	108
basket	117	98
nail	117	81
waitresses	117	108
community	117	102
b	117	96
treats	117	111
creme	117	99
apps	117	103
wheat	117	110
brother	117	102
mustard	117	98
cups	117	101
dad	117	91
wednesday	116	113
golden	116	94
corporate	116	108
express	116	105
joke	116	108
sum	116	72
delightful	116	111
sashimi	116	81
private	116	106
boring	116	105
post	116	97
helping	116	112
vegas	116	106
health	116	97
calling	116	109
chair	115	99
trendy	115	109
dim	115	74
steamed	114	94
coupons	114	98
comfy	114	109
pub	114	87
example	114	112
further	114	111
pretzel	113	87
learn	113	105
stomach	113	107
workout	113	84
hurry	113	109
diet	113	105
putting	113	110
cashier	113	95
apart	113	112
ave	113	102
14	113	96
onto	113	108
cheddar	112	102
thats	112	99
charming	112	108
subway	112	87
keeping	112	112
skip	112	110
island	112	92
square	112	93
handle	112	108
romantic	112	101
matt	112	70
dried	112	105
remembered	112	109
bianco	111	71
subs	111	84
rushed	111	100
relax	111	108
entrance	111	103
famous	111	94
shit	111	98
fell	111	110
site	111	101
los	111	97
soups	111	105
repair	111	81
broccoli	111	96
somehow	111	109
inviting	111	109
travel	110	106
pull	110	99
benedict	110	88
safe	110	104
grand	110	95
king	110	90
security	110	84
korean	110	69
meant	110	105
excuse	110	102
sounded	110	103
views	110	98
pepperoni	110	92
mongolian	110	86
guac	109	84
stood	109	106
search	109	105
reasons	109	108
southwest	109	95
held	109	104
members	109	101
deliver	109	105
pineapple	109	98
includes	109	104
