word	tag	count	occurrence
fresh	JJ	2367	1904
night	NN	2342	1874
friendly	RB	2331	2222
definitely	RB	2304	2045
still	RB	2301	1935
ordered	VBD	2282	1802
more	RBR	2280	1977
first	JJ	2271	1971
pizza	NN	2243	1100
day	NN	2233	1856
before	IN	2223	1904
experience	NN	2195	1833
much	RB	2181	1908
around	IN	2177	1889
since	IN	2172	1845
're	VBP	2119	1668
area	NN	2106	1751
location	NN	2083	1593
'll	MD	2078	1770
said	VBD	2048	1501
sauce	NN	2045	1464
make	VB	2041	1788
bit	NN	2020	1718
ever	RB	2008	1793
new	JJ	1997	1659
every	DT	1996	1726
something	NN	1983	1713
think	VBP	1963	1700
into	IN	1925	1622
meal	NN	1920	1535
though	IN	1914	1668
right	RB	1912	1661
many	JJ	1904	1658
(	NN	1885	1606
say	VB	1882	1673
bad	JJ	1879	1620
lot	NN	1871	1611
another	DT	1869	1608
last	JJ	1867	1640
where	WRB	1856	1593
times	NNS	1855	1631
being	VBG	1842	1584
thing	NN	1840	1639
see	VB	1838	1578
small	JJ	1821	1534
while	IN	1817	1593
2	CD	1788	1427
next	JJ	1769	1553
everything	NN	1766	1600
its	PRP$	1759	1344
amazing	VBG	1757	1553
dinner	NN	1743	1429
eat	VB	1737	1508
ca	MD	1723	1544
great	NNP	1719	1576
both	DT	1707	1435
minutes	NNS	1689	1195
find	VB	1678	1465
side	NN	1677	1418
his	PRP$	1676	1195
5	CD	1676	1416
prices	NNS	1655	1508
salad	NN	1654	1194
price	NN	1640	1422
should	MD	1635	1402
try	VB	1610	1439
favorite	JJ	1609	1428
big	JJ	1604	1407
'd	MD	1592	1308
does	VBZ	1591	1409
get	VBP	1585	1417
want	VBP	1585	1397
take	VB	1579	1384
phoenix	NNP	1570	1301
had	VBN	1564	1413
sure	JJ	1556	1384
hour	NN	1553	1213
home	NN	1550	1345
drinks	NNS	1548	1271
know	VBP	1538	1331
took	VBD	1532	1298
her	PRP$	1522	1030
go	VBP	1522	1381
things	NNS	1498	1313
stars	NNS	1491	1265
beer	NN	1482	1010
3	CD	1476	1277
)	NN	1470	1287
chicken	NN	1464	1106
store	NN	1440	964
places	NNS	1434	1267
fries	NNS	1409	969
looking	VBG	1401	1257
different	JJ	1382	1223
;	:	1379	1035
most	JJS	1366	1244
wine	NN	1363	875
(	NNP	1362	1067
try	NN	1360	1258
room	NN	1350	926
wanted	VBD	1347	1148
--	:	1347	702
give	VB	1344	1239
coffee	NN	1343	801
years	NNS	1340	1173
sandwich	NN	1334	876
server	NN	1333	987
selection	NN	1330	1147
actually	RB	1327	1183
nothing	NN	1322	1162
come	VB	1314	1200
do	VB	1311	1183
down	IN	1299	1191
asked	VBD	1298	1000
burger	NN	1297	738
these	DT	1297	1118
same	JJ	1296	1154
made	VBD	1294	1160
like	VBP	1292	1164
know	VB	1291	1149
special	JJ	1286	1114
quality	NN	1285	1113
better	JJR	1276	1175
enough	RB	1273	1143
up	IN	1273	1174
probably	RB	1263	1163
flavor	NN	1260	1012
drink	NN	1258	1028
once	RB	1244	1112
away	RB	1243	1123
friend	NN	1239	976
friends	NNS	1238	1080
off	RP	1218	1091
those	DT	1217	1088
bread	NN	1208	933
only	JJ	1203	1128
usually	RB	1199	1031
large	JJ	1198	1030
off	IN	1192	1096
full	JJ	1190	1047
however	RB	1185	1060
hot	JJ	1178	974
why	WRB	1175	1036
cheese	NN	1168	923
tried	VBD	1167	1056
anything	NN	1161	1061
thought	VBD	1158	1016
free	JJ	1157	934
huge	JJ	1152	1040
better	RBR	1152	1071
each	DT	1152	974
old	JJ	1149	995
4	CD	1134	984
little	JJ	1132	1012
cheese	JJ	1131	905
items	NNS	1127	920
made	VBN	1123	1003
rice	NN	1121	799
meat	NN	1103	879
clean	JJ	1094	996
)	CD	1091	794
quite	RB	1087	966
wait	NN	1084	935
scottsdale	NNP	1080	899
maybe	RB	1076	921
sweet	JJ	1074	889
happy	JJ	1072	964
everyone	NN	1065	974
through	IN	1064	917
couple	NN	1061	950
much	JJ	1060	990
table	JJ	1058	862
10	CD	1054	923
far	RB	1053	976
else	RB	1047	964
decided	VBD	1047	923
wait	VB	1042	956
chicken	VBN	1041	873
without	IN	1026	941
husband	NN	1022	746
sushi	NN	1016	531
least	JJS	1001	906
need	VBP	993	904
atmosphere	NN	988	952
him	PRP	988	682
almost	RB	986	902
review	NN	978	865
family	NN	978	843
business	NN	977	848
customer	NN	972	806
patio	NN	970	832
during	IN	963	855
very	NNP	961	902
spot	NN	955	864
ordered	VBN	951	837
getting	VBG	942	894
!	NN	941	917
beef	NN	939	700
having	VBG	937	860
top	JJ	935	858
like	VB	934	852
town	NN	932	868
visit	NN	931	824
long	JJ	927	853
overall	JJ	923	872
worth	JJ	915	872
especially	RB	912	876
week	NN	908	833
cream	NN	904	637
coming	VBG	904	851
table	NN	901	740
three	CD	897	777
wonderful	JJ	896	798
)	NNP	893	802
taste	NN	890	796
several	JJ	886	821
told	VBD	879	699
house	NN	876	768
open	JJ	875	769
restaurants	NNS	875	776
plate	NN	873	720
fantastic	JJ	870	793
trying	VBG	870	805
part	NN	866	791
found	VBD	863	788
work	NN	860	772
makes	VBZ	855	801
service	NNP	848	829
kids	NNS	841	624
must	MD	836	768
soup	NN	836	601
dishes	NNS	835	661
such	JJ	834	772
busy	JJ	833	772
waitress	NN	833	651
spicy	NN	830	639
tables	NNS	830	709
local	JJ	830	708
high	JJ	825	751
chips	NNS	822	616
water	NN	820	650
good	NNP	819	770
inside	NN	814	740
loved	VBD	812	727
someone	NN	809	709
mexican	NNP	807	580
finally	RB	803	717
line	NN	799	631
year	NN	799	669
may	MD	798	714
food	NNP	797	752
stuff	NN	796	672
fan	NN	795	712
looked	VBD	794	692
wife	NN	793	600
reviews	NNS	792	717
awesome	VBN	792	760
waiting	VBG	785	673
course	NN	778	639
tasty	JJ	774	716
whole	JJ	773	716
breakfast	NN	772	603
might	MD	772	700
salsa	NN	771	545
own	JJ	770	715
pork	NN	770	566
yes	NNS	770	661
door	NN	769	667
seemed	VBD	767	679
until	IN	762	695
comes	VBZ	756	697
1	CD	753	639
happy	NN	752	618
front	NN	749	673
parking	NN	747	619
want	VB	746	702
today	NN	746	664
options	NNS	741	659
ice	NN	735	525
disappointed	VBN	735	707
tacos	NNS	734	499
!	:	734	676
hours	NNS	734	642
eating	VBG	733	670
money	NN	733	643
star	NN	730	628
helpful	JJ	729	704
do	NNP	728	686
able	JJ	726	648
owner	NN	724	628
although	IN	722	669
car	NN	720	455
real	JJ	719	653
recommend	VBP	715	693
feel	VBP	714	660
tasty	NN	713	664
manager	NN	709	527
love	NNP	707	625
fish	JJ	707	513
later	JJ	706	614
guy	NN	702	579
lots	NNS	701	638
kind	NN	697	632
wo	MD	696	674
dessert	NN	693	575
group	NN	692	551
name	NN	692	618
ask	VB	686	626
extra	JJ	684	617
highly	RB	684	652
recommend	VB	683	661
absolutely	RB	681	641
second	JJ	676	606
20	CD	674	599
instead	RB	672	621
gave	VBD	672	630
person	NN	667	606
think	VB	665	637
flavors	NNS	663	536
style	NN	661	603
regular	JJ	660	602
outside	IN	657	601
fact	NN	657	607
beans	NNS	653	497
oh	UH	653	613
seems	VBZ	653	602
myself	PRP	651	588
'	''	647	521
make	VBP	646	610
yet	RB	646	623
wrong	JJ	645	591
steak	NN	645	458
shrimp	NN	645	456
her	PRP	645	491
done	VBN	644	583
reason	NN	644	610
days	NNS	642	570
waiter	NN	640	481
often	RB	639	602
felt	VBD	637	581
job	NN	632	572
size	NN	630	536
anyone	NN	629	599
cool	JJ	624	574
fun	NN	623	555
served	VBN	623	536
come	VBP	623	592
let	VB	620	581
green	JJ	620	512
decor	NN	617	594
party	NN	617	486
down	RP	616	577
excellent	NN	614	563
shop	NN	613	503
friendly	JJ	611	601
keep	VB	609	575
bacon	NN	609	450
walked	VBD	607	539
most	RBS	606	576
quick	JJ	605	573
right	NN	604	563
point	NN	603	545
less	JJR	603	569
perfect	NN	600	553
enjoyed	VBD	598	570
roll	NN	598	373
liked	VBD	597	544
6	CD	595	530
music	NN	594	512
close	JJ	592	576
well	NNP	591	530
chicken	NNP	591	479
saturday	NNP	591	530
end	NN	589	544
problem	NN	588	530
portions	NNS	588	545
extremely	RB	586	534
counter	NN	585	490
burgers	NNS	584	462
long	RB	582	560
tell	VB	582	544
started	VBD	582	541
tea	NN	580	392
arizona	NNP	579	517
deal	NN	578	531
already	RB	576	537
saw	VBD	573	525
hotel	NN	572	337
attentive	JJ	569	559
first	NNP	569	545
decent	NN	566	528
expensive	JJ	566	512
morning	NN	563	482
variety	NN	562	527
sandwiches	NNS	562	480
dish	NN	562	477
dish	JJ	560	452
italian	JJ	556	402
making	VBG	556	524
rolls	NNS	553	401
either	DT	553	525
arrived	VBD	551	478
impressed	VBN	547	520
rather	RB	547	508
check	VB	545	515
tasted	VBD	542	491
street	NN	542	504
perfectly	RB	539	493
list	NN	539	490
half	NN	539	485
needed	VBD	536	479
ok	NN	536	486
choice	NN	536	490
customers	NNS	533	466
brought	VBD	532	479
cooked	VBN	530	488
15	CD	528	470
thai	NNP	527	273
used	VBD	527	486
check	NN	527	450
dog	NN	527	284
glass	NN	526	436
ingredients	NNS	524	476
reasonable	JJ	524	512
seen	VBN	524	484
stop	VB	524	506
use	VB	523	470
between	IN	523	485
quickly	RB	522	486
appetizer	NN	521	467
four	CD	520	464
working	VBG	520	481
soon	RB	519	493
sit	VB	518	482
yelp	NNP	518	462
easy	JJ	517	478
used	VBN	514	478
amount	NN	512	469
fine	NN	509	473
sometimes	RB	509	463
pay	VB	508	456
past	JJ	502	469
excellent	JJ	502	478
all	PDT	502	486
evening	NN	499	432
doing	VBG	496	464
average	JJ	496	436
back	NN	494	447
trip	NN	493	446
seriously	RB	493	472
comfortable	JJ	493	463
beautiful	JJ	492	450
hard	JJ	490	479
get	NN	490	461
under	IN	488	468
guess	VBP	487	457
return	VB	486	467
awesome	NN	485	452
egg	NN	484	373
totally	RB	484	445
help	VB	484	447
(	CD	482	451
weekend	NN	479	448
sunday	NNP	478	437
breakfast	JJ	478	409
eggs	NNS	476	354
bowl	NN	476	370
look	VB	476	447
seated	VBN	474	417
work	VB	474	441
bbq	NNP	473	305
gets	VBZ	473	450
ended	VBD	472	440
employees	NNS	471	413
others	NNS	471	443
wings	NNS	469	315
game	NN	469	359
friday	NNP	469	421
etc	NN	468	424
late	JJ	467	424
along	IN	467	436
ate	VBP	467	437
az	NNP	466	420
love	VB	465	439
expect	VB	465	437
warm	NN	464	432
portion	NN	463	420
beers	NNS	463	365
left	VBD	463	438
cool	NN	462	427
recently	RB	461	445
put	VBD	461	442
life	NN	461	408
)	``	460	365
salads	NNS	459	414
%	NN	459	383
specials	NNS	457	407
potato	NN	454	373
nice	NN	453	437
buy	VB	453	409
dry	JJ	452	391
cake	NN	451	328
drive	JJ	451	400
perfect	JJ	451	431
pool	NN	449	284
enjoy	VB	448	414
found	VBN	448	429
surprised	VBN	448	429
say	VBP	448	428
white	JJ	448	392
rest	NN	445	424
type	NN	445	412
ambiance	NN	445	424
slow	JJ	445	414
tempe	NNP	445	388
as	RB	443	434
30	CD	443	400
given	VBN	442	410
called	VBN	442	400
priced	VBN	441	429
left	VBN	441	417
date	NN	439	389
dining	NN	438	378
plenty	NN	438	408
twice	NN	438	427
sitting	VBG	436	404
ok	NNP	435	393
office	NN	431	304
eaten	VBN	431	410
feel	VB	431	420
girl	NN	430	378
thanks	NNS	430	410
short	JJ	429	393
months	NNS	428	393
8	CD	427	382
knew	VBD	426	392
choices	NNS	425	393
servers	NNS	425	380
appetizers	NNS	425	387
burrito	NN	424	289
chinese	JJ	423	281
garlic	JJ	422	335
chocolate	NN	422	342
completely	RB	421	387
cheap	NN	421	392
five	CD	419	382
flavorful	JJ	418	400
authentic	JJ	416	360
while	NN	415	391
behind	IN	415	380
super	NN	415	387
man	NN	414	366
itself	PRP	413	400
gone	VBN	413	391
space	NN	412	375
chain	NN	411	363
across	IN	411	397
bill	NN	411	339
available	JJ	411	359
yourself	PRP	410	379
guys	NNS	410	356
near	IN	409	381
i	NNP	409	390
care	NN	408	354
mall	NN	407	328
pasta	NN	407	313
world	NN	405	364
bring	VB	404	387
prepared	VBN	402	368
seating	VBG	401	373
stopped	VBD	398	382
meals	NNS	397	348
had	NNP	394	382
phone	NN	394	304
kitchen	NN	393	345
start	VB	392	372
sat	VBP	392	365
fun	VBN	392	365
light	JJ	390	361
entire	JJ	390	373
including	VBG	389	370
new	NNP	389	308
valley	NN	388	365
buffet	NN	388	238
tried	VBN	386	373
idea	NN	386	361
unfortunately	RB	385	369
month	NN	385	350
hard	RB	384	364
neighborhood	NN	382	358
cup	NN	382	315
fried	VBN	382	340
wish	VBP	381	368
atmosphere	RB	381	375
crowd	NN	381	337
veggies	NNS	380	328
'	POS	380	332
crust	NN	380	288
taking	VBG	379	366
give	VBP	378	369
leave	VB	378	361
red	VBN	377	352
went	NNP	377	372
mouth	NN	376	350
birthday	NN	374	294
ones	NNS	373	345
7	CD	372	346
corn	NN	372	291
find	VBP	371	352
ago	RB	371	355
cute	JJ	370	341
card	NN	369	288
toppings	NNS	369	304
nice	NNP	367	352
feel	NN	367	348
company	NN	366	300
go	NNP	365	341
served	VBD	365	345
movie	NN	364	209
simple	JJ	363	331
order	VB	363	348
based	VBN	363	335
orders	NNS	361	324
taken	VBN	361	339
hot	NN	361	329
live	VBP	360	351
onion	NN	359	304
seem	VBP	357	338
care	VB	357	344
butter	NN	356	299
taco	NN	356	244
exactly	RB	355	343
super	JJ	355	344
waited	VBD	354	300
pick	VB	353	333
first	RB	352	337
boyfriend	NN	351	281
rooms	NNS	351	268
excited	VBN	350	332
pieces	NNS	346	299
fast	RB	345	332
look	NN	345	325
case	NN	345	327
look	VBP	344	327
option	NN	343	315
pizza	NNP	343	274
unique	JJ	343	322
crab	NN	343	251
choose	VB	343	326
onions	NNS	342	307
event	NN	342	247
offer	VBP	342	310
mean	VBP	342	321
immediately	RB	341	311
terrible	JJ	341	304
happy	NNP	340	290
bring	VBG	340	320
packed	VBN	339	330
enjoy	VBP	339	324
hand	NN	339	311
walking	VBG	337	325
kept	VBD	337	320
sausage	NN	336	272
weeks	NNS	336	317
seats	NNS	336	253
called	VBD	336	297
chance	NN	334	317
bottle	NN	333	283
looks	VBZ	333	324
goes	VBZ	333	318
forward	RB	332	324
needs	VBZ	332	314
come	VBN	331	312
hair	NN	330	197
valley	NNP	330	296
oil	NN	330	247
sign	NN	329	296
healthy	JJ	329	287
due	JJ	329	311
certainly	RB	328	303
okay	NN	327	291
wall	NN	326	298
sort	NN	326	301
number	NN	325	280
taste	VB	324	309
typical	JJ	323	301
use	VBP	322	302
put	VB	322	315
half	DT	321	293
within	IN	319	299
kind	JJ	319	299
piece	NN	318	279
walk	VBP	317	294
giving	VBG	316	306
dining	VBG	315	291
stores	NNS	315	255
dogs	NNS	314	214
next	IN	314	303
take	VBP	313	302
call	VB	313	284
enjoyed	VBN	313	305
except	IN	312	305
		311	196
12	CD	311	283
interesting	JJ	311	294
owners	NNS	311	290
lettuce	NN	311	265
over	RP	311	290
main	JJ	310	290
low	JJ	310	288
truly	RB	310	287
takes	VBZ	310	293
ordering	VBG	310	288
unless	IN	310	304
downtown	NN	310	287
young	JJ	310	279
wow	NNP	309	303
soft	JJ	309	289
bartender	NN	309	255
show	NN	309	245
plates	NNS	309	269
pleasant	JJ	307	296
sure	NN	307	301
crowded	VBN	306	294
change	NN	306	254
back	RP	306	298
love	NN	305	283
tip	NN	305	264
issue	NN	304	277
afternoon	NN	303	281
chef	NN	303	257
decent	JJ	303	292
feeling	VBG	302	285
floor	NN	301	255
glad	JJ	301	295
horrible	JJ	300	276
thinking	VBG	300	282
one	NN	300	286
sides	NNS	299	265
anywhere	RB	299	290
saying	VBG	298	284
literally	RB	298	277
item	NN	297	266
tasted	VBN	297	282
simply	RB	297	277
yummy	NN	296	279
talking	VBG	296	282
attention	NN	296	281
everything	VBG	295	289
noticed	VBD	293	268
will	NNP	293	288
food	VBD	293	293
order	VBP	292	279
entrees	NNS	292	268
hostess	NN	292	229
outdoor	NN	291	274
live	JJ	291	269
sure	RB	290	286
thin	JJ	290	251
above	IN	289	279
fairly	RB	289	273
slightly	RB	289	273
moved	VBD	287	272
fried	VBD	287	264
outstanding	JJ	287	268
mostly	RB	287	279
grilled	VBN	285	254
class	NN	285	190
seat	NN	284	250
minute	NN	284	272
fast	JJ	284	261
questions	NNS	283	251
fruit	NN	283	238
worth	NN	283	277
try	VBP	283	277
mix	NN	283	266
chairs	NNS	283	243
usual	JJ	282	263
soda	NN	282	220
see	VBP	281	267
mine	JJ	281	270
bucks	NNS	280	249
hands	NNS	280	265
located	VBN	280	271
add	VB	279	264
value	NN	279	262
believe	VBP	278	267
lady	NN	278	234
big	NNP	278	243
enough	JJ	278	271
told	VBN	277	237
remember	VB	277	263
opened	VBD	276	259
mind	NN	276	258
frozen	VBN	276	231
pricey	NN	276	274
tv	NN	276	250
building	NN	276	247
fabulous	JJ	275	260
hope	VBP	274	267
says	VBZ	274	240
noodles	NNS	273	207
vegetarian	JJ	273	237
cash	NN	273	238
stay	VB	273	251
desert	NN	272	232
visiting	VBG	271	263
french	JJ	271	232
ago	IN	271	267
early	JJ	271	255
veggie	NN	270	231
greasy	JJ	270	248
crispy	NN	269	246
chili	NN	269	211
glasses	NNS	269	217
the	NNP	268	243
easily	RB	268	257
offered	VBD	266	250
go	NN	266	256
received	VBD	265	236
standard	JJ	265	255
strip	NN	265	248
bite	NN	265	247
combo	NN	265	235
paying	VBG	264	251
greeted	VBN	264	256
daughter	NN	263	208
level	NN	263	235
section	NN	263	219
professional	JJ	263	248
visit	VB	263	259
salmon	NN	262	216
mixed	VBN	262	243
running	VBG	262	241
TRUE	JJ	262	249
turned	VBD	261	242
plus	NNP	261	246
serve	VBP	261	250
basically	RB	261	248
box	NN	261	221
middle	NN	260	251
apparently	RB	259	243
!	``	259	243
son	NN	259	203
mom	NN	258	206
hungry	JJ	257	238
school	NN	257	208
tomato	NN	257	231
asking	VBG	257	250
super	JJR	257	248
folks	NNS	256	240
call	NN	256	216
casual	JJ	256	235
cold	JJ	255	234
tuna	NN	255	195
together	RB	255	249
opinion	NN	254	242
black	JJ	254	228
bought	VBD	254	239
summer	NN	254	235
(	-NONE-	254	248
personal	JJ	254	242
curry	NN	253	176
awesome	NNP	253	249
got	VBN	253	234
honestly	RB	253	241
corner	NN	253	240
spend	VB	252	246
9	CD	251	232
pie	NN	251	184
paid	VBD	251	237
particular	JJ	251	226
burger	NNP	251	195
seafood	NN	251	202
center	NN	251	227
bag	NN	250	214
parking	VBG	250	235
die	VB	250	246
bathroom	NN	250	215
sports	NNS	250	194
seating	NN	249	232
asian	JJ	249	209
ribs	NNS	249	181
..	:	249	213
walk	VB	249	239
ca	NNP	248	242
per	IN	248	225
generous	JJ	248	238
old	NNP	248	216
expecting	VBG	247	234
vibe	NN	247	237
expected	VBN	247	235
empty	JJ	247	233
music	JJ	247	227
spring	NN	246	205
potatoes	NNS	246	211
head	NN	246	229
outside	NN	246	238
single	JJ	245	236
done	NN	244	233
club	NN	244	205
shopping	VBG	244	224
medium	NN	243	191
girls	NNS	243	211
kinda	NN	243	222
watch	VB	243	225
please	NN	242	227
cooked	VBD	242	232
conversation	NN	242	228
fair	JJ	242	230
la	NNP	241	189
)	-NONE-	241	236
write	VB	241	233
dr.	NNP	240	134
ready	JJ	240	228
face	NN	240	224
fried	JJ	240	215
cost	NN	239	213
seem	VB	239	232
red	NNP	239	194
enjoy	NN	238	228
oh	NN	238	228
added	VBD	238	230
drink	VB	238	229
locations	NNS	238	215
mushrooms	NNS	238	207
vegetables	NNS	237	199
establishment	NN	237	224
let	NNP	237	226
tons	NNS	237	221
chicago	NNP	236	156
perhaps	RB	236	226
park	NN	236	161
normally	RB	235	225
my	NNP	235	212
believe	VB	235	230
turkey	NN	235	189
yogurt	NN	235	137
try	NNP	234	230
favorites	NNS	234	225
peppers	NNS	234	206
shot	NN	234	219
products	NNS	234	190
ahead	RB	234	229
hear	VB	233	217
prefer	VBP	233	225
2-Jan	CD	233	196
desserts	NNS	232	209
run	VBN	232	227
salad	NNP	232	208
dip	NN	232	181
early	RB	232	223
50	CD	232	219
traditional	JJ	231	215
amazing	NN	231	223
closed	VBN	231	211
brunch	NN	231	174
25	CD	230	217
gotten	VBN	230	222
worst	JJS	230	221
obviously	RB	229	220
sauces	NNS	227	209
solid	JJ	227	206
poor	JJ	226	210
knowledgeable	JJ	226	223
heat	NN	226	212
100	CD	226	213
knows	VBZ	225	214
texture	NN	224	206
excellent	NNP	224	221
despite	IN	224	216
homemade	NN	224	205
good	VBD	224	221
share	VB	224	214
book	NN	224	209
girlfriend	NN	223	183
somewhere	RB	223	216
eat	VBP	223	216
nights	NNS	222	211
slices	NNS	222	179
lovely	RB	221	206
incredible	JJ	221	201
strong	JJ	220	206
matter	NN	220	213
normal	JJ	219	207
toast	NN	219	174
slice	NN	219	180
watching	VBG	218	204
anyway	NNP	218	209
finish	VB	218	211
joint	NN	217	208
supposed	VBN	217	208
tap	NN	217	191
looks	NNS	216	211
nearly	RB	216	208
house	NNP	216	169
smaller	JJR	216	204
market	NN	216	171
thank	NNP	215	213
issues	NNS	215	191
eye	NN	215	197
management	NN	215	187
theater	NN	215	108
was	NNP	215	204
cookie	NN	215	164
ask	VBP	215	208
similar	JJ	214	206
filling	VBG	212	207
serving	VBG	212	202
ready	RB	212	193
using	VBG	212	203
addition	NN	211	205
weird	JJ	211	194
dollars	NNS	211	188
pleased	VBN	211	205
hour	NNP	210	167
modern	JJ	210	202
driving	VBG	210	198
view	NN	210	183
online	NN	210	182
beyond	IN	209	203
rating	NN	209	196
give	JJ	209	204
woman	NN	209	187
upon	IN	209	197
yum	NNP	209	181
plus	NN	208	199
showed	VBD	208	199
meats	NNS	208	181
airport	NN	208	154
weather	NN	207	197
patrons	NNS	207	194
paper	NN	207	173
none	NN	207	205
better	NN	207	202
tortilla	NN	207	177
original	JJ	207	191
wish	JJ	206	203
mood	NN	206	200
cocktails	NNS	205	179
good	NN	205	205
dressing	VBG	205	185
foods	NNS	204	176
double	JJ	204	182
credit	NN	204	175
serve	VB	204	194
iced	VBN	203	172
word	NN	202	195
craving	VBG	202	196
yesterday	NN	202	192
potatoes	VBZ	202	181
entree	NN	202	184
grab	VB	202	193
treat	NN	202	192
bunch	NN	201	199
bars	NNS	201	185
affordable	JJ	200	190
delivery	NN	199	148
salty	NN	198	182
clearly	RB	198	187
surprise	NN	198	191
expectations	NNS	198	189
shared	VBD	198	195
combination	NN	198	187
awful	JJ	198	177
pita	NN	198	142
bland	NN	198	181
sugar	NN	198	171
reservation	NN	197	160
juice	NN	197	154
whatever	RB	197	189
reasonably	RB	197	196
possible	JJ	197	189
appointment	NN	197	143
gift	NN	196	156
lol	NN	196	184
bartenders	NNS	196	187
window	NN	196	173
sweet	NN	196	190
flat	JJ	196	182
put	VBN	196	189
cookies	NNS	195	156
cut	VBD	195	181
walls	NNS	195	183
basic	JJ	195	183
incredibly	RB	195	185
yummy	JJ	195	188
stop	NN	195	190
opening	VBG	194	171
considering	VBG	194	188
grocery	NN	194	170
have	NNP	194	186
desk	NN	194	162
pho	NNP	194	106
town	NNP	194	171
cheese	NNP	194	158
version	NN	193	171
bite	JJ	193	179
need	NN	192	187
fancy	NN	192	183
filled	VBN	192	183
heart	NN	192	188
pizzas	NNS	192	168
sub	NN	192	132
pepper	NN	191	178
about	RB	191	186
mind	VB	191	184
limited	VBN	191	179
cheap	VB	191	183
gem	NN	191	190
barely	RB	190	184
take	NN	190	179
lack	NN	190	182
less	RBR	190	186
offer	VB	190	182
sense	NN	190	177
cafe	NNP	190	149
juicy	NN	189	182
down	RB	189	179
salt	NN	189	157
leaving	VBG	188	176
understand	VB	188	180
seeing	VBG	188	174
attitude	NN	188	168
massage	NN	188	108
art	NN	188	168
pay	VBP	188	179
experiences	NNS	188	179
forgot	VBD	188	172
stay	NN	188	163
throughout	IN	187	172
shopping	NN	187	175
country	NN	187	165
fast	NN	187	179
games	NNS	187	150
recommended	VBD	187	184
checked	VBD	186	177
hate	VBP	186	175
orange	NN	186	158
lived	VBD	186	180
actual	JJ	186	173
weekends	NNS	186	182
generally	RB	186	171
general	JJ	186	171
notch	NN	186	184
mesa	NNP	186	147
selections	NNS	185	176
carne	NN	185	154
hummus	NN	185	151
previous	JJ	185	174
ton	NN	185	178
cocktail	NN	185	165
looked	VBN	184	178
chandler	NNP	184	156
charge	NN	184	169
city	NN	184	160
